code,name,unit,price,quantity,category
"PA-1297","MOTOR LIMPIA PARABRISA LADA",UNO,"14000",1,"PIEZAS DE AUTO",
"PA-1302","MESULA DE LADA",UNO,"8000",8,"PIEZAS DE AUTO",
"PA-1304","MANGUERA RADIADOR DE AGUA CRIOLLA",UNO,"6000",6,"PIEZAS DE AUTO",
"PA-1306","MANGUERA DE FRENO WUA",UNO,"4000",10,"PIEZAS DE AUTO",
"PA-1307","MANGUERA DE FRENO LADA",UNO,"3900",1,"PIEZAS DE AUTO",
"PA-1308","MANILLA PUERTA LADA JGO 4 UNIDADES",UNO,"8000",2,"PIEZAS DE AUTO",
"PA-1313","MANGUERA GANDA RADIADOR",UNO,"6000",1,"PIEZAS DE AUTO",
"PA-1314","PASTILLA DE FRENO MOSKOVICH",PAR,"9000",1,"PIEZAS DE AUTO",
"PA-1315","PATIN CORTO LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"PA-1316","PATIN LARGO LADA",UNO,"3000",3,"PIEZAS DE AUTO",
"PA-1317","AMORTIGUADOR LADA",UNO,"39000",5,"PIEZAS DE AUTO",
"PA-1319","PANTALLA H4",UNO,"30000",6,"PIEZAS DE AUTO",
"PA-1322","PANTALLA LED",UNO,"17500",3,"PIEZAS DE AUTO",
"PA-1324","PANTALLA  WAZ",PAR,"14000",4,"PIEZAS DE AUTO",
"PA-1329","PULMON TEMPERATURA MOSK",UNO,"2500",6,"PIEZAS DE AUTO",
"PA-1331","PANTALLA DELANTERA YUN",PAR,"27000",2,"PIEZAS DE AUTO",
"PA-1332","PULMON MARCHA ATRÁS",UNO,"2500",5,"PIEZAS DE AUTO",
"PA-1333","NEBLINEROS GRANDES AUTO",UNO,"15000",1,"PIEZAS DE AUTO",
"PA-1334","PILOTO",UNO,"1000",1,"PIEZAS DE AUTO",
"PA-1336","PLATO OPRESOR LADA",UNO,"38000",2,"PIEZAS DE AUTO",
"PA-1337","SISTEMA LIMPIA PARABRISA LADA",UNO,"28000",1,"PIEZAS DE AUTO",
"PA-1340","CILINDRO CAMIONETA CHINA",PAR,"12000",2,"PIEZAS DE AUTO",
"PA-1342","TAPON BOMBETA DIESEL",UNO,"3000",1,"PIEZAS DE AUTO",
"PA-1343","TAPA DELCO LADA",UNO,"5500",2,"PIEZAS DE AUTO",
"PA-1346","TURBINA AGUA 1 PULGADA",UNO,"20000",1,"ELECTROS",
"PA-1349","TECLAS PIZARRA",UNO,"2500",2,"PIEZAS DE AUTO",
"PA-1350","TERMOSTATO YUNDAY",UNO,"8000",1,"PIEZAS DE AUTO",
"PA-1351","TERMINAL DIRECCION CARRO AMER",UNO,"8800",1,"PIEZAS DE AUTO",
"PA-1355","REPARACION PINZA MOSK",UNO,"17000",1,"PIEZAS DE AUTO",
"PA-1358","RELOJ TEMPERATURA DIGITAL",UNO,"7500",2,"PIEZAS DE AUTO",
"PA-1362","ROTON LADA",UNO,"3500",5,"PIEZAS DE AUTO",
"PA-1364","ROTON MOSKOVICH",UNO,"3500",3,"PIEZAS DE AUTO",
"PA-1366","RODAMIENTO CHIQUITO MOSK",UNO,"3500",1,"PIEZAS DE AUTO",
"PA-1367","RODAMIENTO MOSCOVICH GRANDE",UNO,"3500",1,"PIEZAS DE AUTO",
"PA-1368","RADIADOR CLARIA",UNO,"100000",2,"PIEZAS DE AUTO",
"PA-1369","RADIADOR LADA",UNO,"60000",1,"PIEZAS DE AUTO",
"PA-1372","REPARACION SINFIN MOSK",UNO,"7000",2,"PIEZAS DE AUTO",
"PA-1373","RELOJ YUND",UNO,"7500",1,"PIEZAS DE AUTO",
"PA-1378","LAMPARA DE SALON DE LADA 2107",UNO,"3000",8,"PIEZAS DE AUTO",
"PA-1388","BRAZO LIMPIA PARABRISA MOSK",PAR,"11000",2,"PIEZAS DE AUTO",
"FF-1390","CARETA NO POLARIZADA",UNO,"8000",1,"FERRETERIA",
"PA-1391","COMANDO LUCES LADA",UNO,"15000",1,"PIEZAS DE AUTO",
"PA-1392","CARBON LADA",UNO,"3500",1,"PIEZAS DE AUTO",
"PA-1393","CRUCETA WUAZ",UNO,"20400",4,"PIEZAS DE AUTO",
"PA-1395","COLLARIN LADA",UNO,"9000",2,"PIEZAS DE AUTO",
"PA-1399","CAJA FUSIBLE MOSK (MEXICO)",UNO,"3500",2,"PIEZAS DE AUTO",
"PA-1401","ELECTROVALBULA ARRANQUE ARRQ",UNO,"21000",1,"PIEZAS DE AUTO",
"PA-1410","BOMBETA PETROLEO  YUNDAY SIMPLE",UNO,"11000",1,"PIEZAS DE AUTO",
"PA-1411","BOMBA GASOLINA",UNO,"20400",2,"PIEZAS DE AUTO",
"PA-1413","BOTON STOP FRENO LADA",UNO,"3500",2,"PIEZAS DE AUTO",
"PA-1416","BOMBA AGUA MOSK",UNO,"13000",2,"PIEZAS DE AUTO",
"PA-1418","BOMBA AGUA LADA",UNO,"20400",2,"PIEZAS DE AUTO",
