piso,code,name,unit,price,quantity,category
"Piso EMA","FF-1187","PRECINTA PAPEL",UNO,"2500",12,"FERRETERIA",
"Piso EMA","FF-1188","PISTOLA GAS",UNO,"900",0,"FERRETERIA",
"Piso EMA","FF-1189","REGULADOR VOLTAJE",UNO,"17500",10,"FERRETERIA",
"Piso EMA","FF-1190","PINZA PRESION",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1191","REGULADOR COMPUTADORA",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1192","SOQUE PLANO",UNO,"5000",0,"FERRETERIA",
"Piso EMA","FF-1193","SOQUE NORMAL",UNO,"350",0,"FERRETERIA",
"Piso EMA","FF-1194","BRIDA 4.8 X 400MM",UNO,"40",24,"FERRETERIA",
"Piso EMA","FF-1195","SILICONA CALOR",UNO,"900",22,"FERRETERIA",
"Piso EMA","FF-1196","SILICONA TRANSPARENTE",UNO,"1500",1,"FERRETERIA",
"Piso EMA","FF-1197","ADAPTADOR NEGRO PEQUEÑO",UNO,"350",14,"FERRETERIA",
"Piso EMA","FF-1198","ALICATE U OTROS SIMILARES",UNO,"3000",0,"FERRETERIA",
"Piso EMA","FF-1201","ELECTRODO SOLD LAORABLE 6013",UNO,"50",95,"FERRETERIA",
"Piso EMA","FF-1202","ELECTRODO ACERO INOXIDABLE",UNO,"250",711,"FERRETERIA",
"Piso EMA","FF-1203","DESTORNILLADOR GRANDE PUNTA",UNO,"18000",2,"FERRETERIA",
"Piso EMA","FF-1204","BRIDA 4.8 X 500MM",UNO,"50",177,"FERRETERIA",
"Piso EMA","FF-1205","ADAPTADOR GRANDE BLANCO",UNO,"400",5,"FERRETERIA",
"Piso EMA","FF-1206","FLASHI 12 VOLT",UNO,"1500",7,"FERRETERIA",
"Piso EMA","FF-1207","ARANDELA DE PRESION",UNO,"20",0,"FERRETERIA",
"Piso EMA","FF-1208","BREAK 63 AM PLANTA CUHILLA",UNO,"19040",11,"FERRETERIA",
"Piso EMA","FF-1209","BROCHA 6mm",UNO,"1500",9,"FERRETERIA",
"Piso EMA","FF-1210","BROCHA 5MM",UNO,"1300",0,"FERRETERIA",
"Piso EMA","FF-1211","GRAMPA DE TECHO",UNO,"30",0,"FERRETERIA",
"Piso EMA","FF-1212","RELAY 24 VOLT",PAR,"1300",19,"FERRETERIA",
"Piso EMA","FF-1238","CONECTOR DORADO",UNO,"25",0,"FERRETERIA",
"Piso EMA","FF-1278","VALVULA METAL",UNO,"350",0,"FERRETERIA",
"Piso EMA","FF-1479","BISAGRAS",PAR,"1800",4,"FERRETERIA",
"Piso EMA","FF-1480","CHEQUES 1PULG",UNO,"1800",4,"FERRETERIA",
"Piso EMA","FF-1481","VOLTIMETRO 12 VOLT",UNO,"3500",5,"FERRETERIA",
"Piso EMA","FF-1482","CRANES 12X125",UNO,"2100",8,"FERRETERIA",
"Piso EMA","FF-1483","CRANES 12X150",UNO,"1400",0,"FERRETERIA",
"Piso EMA","FF-1484","CRANES 14X150",UNO,"1100",19,"FERRETERIA",
"Piso EMA","FF-1485","BUJIAS NGK",UNO,"2500",20,"FERRETERIA",
"Piso EMA","FF-1486","BUJIAS PRISMA Y TAINO",UNO,"2000",23,"FERRETERIA",
"Piso EMA","FF-1487","BUJIAS CHAMPIOS",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1488","BUJIAS FINA 4T",UNO,"1500",22,"FERRETERIA",
"Piso EMA","FF-1489","MEDIDOR DE AIRE",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1490","LLAVE ALLEN GRANDE",UNO,"3800",4,"FERRETERIA",
"Piso EMA","FF-1493","DISCO CORTE SIERRA",UNO,"1600",2,"FERRETERIA",
"Piso EMA","FF-1494","ESPONJA MOOR LAVAR AUTOS",UNO,"1300",15,"FERRETERIA",
"Piso EMA","FF-1495","ESPIGA GRANDE PLANTA MACHO",UNO,"1200",13,"FERRETERIA",
"Piso EMA","FF-1496","GOMA PATA ARRANQ MOTOR",UNO,"650",7,"FERRETERIA",
"Piso EMA","FF-1497","CHIRRIADORA",UNO,"3500",0,"FERRETERIA",
"Piso EMA","FF-1498","CHIRRI CHIQUITO",UNO,"35",635,"FERRETERIA",
"Piso EMA","FF-1501","LLAVE PVC AGUA",UNO,"650",0,"FERRETERIA",
"Piso EMA","FF-1502","MULTIMETRO",UNO,"8500",1,"FERRETERIA",
"Piso EMA","FF-1503","NIPLE 1/2",UNO,"350",1,"FERRETERIA",
"Piso EMA","FF-1504","MANGUERA GASOLINA",UNO,"200",3,"FERRETERIA",
"Piso EMA","FF-1505","MANG LAVADORA",UNO,"1500",0,"FERRETERIA",
"Piso EMA","FF-1506","MANG SILICONA GAS",m,"800",10,"FERRETERIA",
"Piso EMA","FF-1508","TUBO LED LAMPARA 40",UNO,"3500",21,"FERRETERIA",
"Piso EMA","FF-1510","PROTECTOR VOLTAGE",UNO,"4000",0,"FERRETERIA",
"Piso EMA","FF-1512","PESTILLO 3PG",UNO,"600",2,"FERRETERIA",
"Piso EMA","FF-1513","PESA DIGITAL",UNO,"3800",0,"FERRETERIA",
"Piso EMA","FF-1514","PUNTA DESTORNL",UNO,"3500",1,"FERRETERIA",
"Piso EMA","FF-1516","SILICONA NEUTRA",UNO,"2400",1,"FERRETERIA",
"Piso EMA","FF-1520","TAPA DE VALVULA",UNO,"300",228,"FERRETERIA",
"Piso EMA","FF-1579","LLAVE MEZCLADORA DUCHA",UNO,"12500",0,"FERRETERIA",
"Piso EMA","FF-1580","LLAVE LAVAMANOS",UNO,"3500",5,"FERRETERIA",
"Piso EMA","FF-1581","DUCHA ELECTRICA",UNO,"15000",3,"FERRETERIA",
"Piso EMA","FF-1582","LLAVE DE FREGADERO GANZO",UNO,"3700",1,"FERRETERIA",
"Piso EMA","FF-1583","BARRAS SILICONA",UNO,"150",15,"FERRETERIA",
"Piso EMA","FF-1585","MALLA PLASTICA PARA PERSIANAS",m,"2000",64,"FERRETERIA",
"Piso EMA","FF-1591","CORNETA COMPRESOR",UNO,"20000",1,"FERRETERIA",
"Piso EMA","FF-1592","PONCHE FRIO",UNO,"2000",15,"FERRETERIA",
"Piso EMA","FF-1600","CALCOMANIAS FOSFORESCENTES",UNO,"100",0,"FERRETERIA",
